titulo,categoria,imagem
NerdCast 750,O Melhor de 750 Nerdcasts,https://uploads.jovemnerd.com.br/wp-content/uploads/2020/11/NC_750_melhor-de-50-NC-v4-760x428.png
NerdTech 57,Os Titãs da Tecnologia,https://uploads.jovemnerd.com.br/wp-content/uploads/2020/11/NC_TECH57_4-gigantes_FINAL-760x428.png
NerdCast 749,Ficções prevendo o futuro,https://uploads.jovemnerd.com.br/wp-content/uploads/2020/10/NC_749_ficcoes-prevendo-o-futuro-760x428.png
Empreendedor 70,O ano 1 de uma empresa,https://uploads.jovemnerd.com.br/wp-content/uploads/2020/10/NC_EXE70-primeiro-ano-760x428.png
NerdCast 748,Sonhando com a próxima viagem,https://uploads.jovemnerd.com.br/wp-content/uploads/2020/10/NC_748_proxima-viagem-760x428.png
NerdCast 747,The Boys 2: Explodindo cabeças!,https://uploads.jovemnerd.com.br/wp-content/uploads/2020/10/NC_747_the-boys-760x428.png
Speak English 32,Programando em Inglês,https://uploads.jovemnerd.com.br/wp-content/uploads/2020/10/NC_SE32-programadores-760x428.png
NerdCast 746,Profissão: Relações Públicas,https://uploads.jovemnerd.com.br/wp-content/uploads/2020/10/NC_746_relacoes-publicas-760x428.png
NerdCash 28,EUA: Eleições 2020 e o mercado,https://uploads.jovemnerd.com.br/wp-content/uploads/2020/10/NC_CASH28-impacto-das-eleicoes-760x428.png
NerdCast 745,"Manas, decks e Magic!",https://uploads.jovemnerd.com.br/wp-content/uploads/2020/10/NC_745_magic-760x428.png
NerdTech 56,Vida em Vênus?,https://uploads.jovemnerd.com.br/wp-content/uploads/2020/10/NC_TECH56_vida-em-venus-760x428.png
NerdCast Generacast 02,Genética de Hollywood,https://uploads.jovemnerd.com.br/wp-content/uploads/2020/09/NC_GEN2_genetica-de-hollywood-760x428.png
NerdCast 744,As maiores invenções da História,https://uploads.jovemnerd.com.br/wp-content/uploads/2020/09/NC_744_impacto-das-invencoes-760x428.png
Empreendedor 69,Renan Pizii: Colecionáveis dominando o mundo,https://uploads.jovemnerd.com.br/wp-content/uploads/2020/09/NC_EXE69-renan-pizii-760x428.png
NerdCast 743,"Reboot, remake, continuação ou deixa pra lá!",https://uploads.jovemnerd.com.br/wp-content/uploads/2020/09/NC_743_remakes-reboots-memoria_destaque-760x428.png
Speak English 31,Inglês Abrasileirado,https://uploads.jovemnerd.com.br/wp-content/uploads/2020/09/NC_SE31-brazilian-english-760x428.png
NerdCast 742,DIY: Faça você mesmo,https://uploads.jovemnerd.com.br/wp-content/uploads/2020/09/NC_742-mao-na-massa-760x428.png
NerdCash 27,Axiomas de Zurique,https://uploads.jovemnerd.com.br/wp-content/uploads/2020/09/NC_CASH27_axiomas-de-zurique-760x428.png
NerdCast 741,"DC Fandome: O Bom, o Hype e o Snyder",https://uploads.jovemnerd.com.br/wp-content/uploads/2020/09/NC_741_dc-fandome-760x428.jpg
NerdTech 55,"Home Office: Passado, presente e futuro",https://uploads.jovemnerd.com.br/wp-content/uploads/2020/09/NC_TECH55_home-office-760x428.jpg
